         50326 function calls (48263 primitive calls) in 50.293 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1043(__import__)
      326    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:119(release)
      144    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:159(__init__)
      144    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:163(__enter__)
      144    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:170(__exit__)
      326    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:176(_get_module_lock)
      144    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:190(cb)
      182    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:195(_lock_unlock_module)
    192/3    0.000    0.000    0.162    0.054 <frozen importlib._bootstrap>:214(_call_with_frames_removed)
      135    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:225(_verbose_message)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:235(_requires_builtin_wrapper)
      135    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:310(__init__)
      135    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:314(__enter__)
      135    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:321(__exit__)
      540    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:324(<genexpr>)
      118    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      140    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(__init__)
      247    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:406(cached)
      135    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:419(parent)
      135    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:427(has_location)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:436(spec_from_loader)
      135    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:510(_init_module_attrs)
  135/133    0.000    0.000    0.038    0.000 <frozen importlib._bootstrap>:570(module_from_spec)
    135/2    0.001    0.000    0.162    0.081 <frozen importlib._bootstrap>:659(_load_unlocked)
      140    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:716(find_spec)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:737(create_module)
      144    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__init__)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:745(exec_module)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:762(is_package)
      134    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:789(find_spec)
      542    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:852(__enter__)
      542    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:856(__exit__)
      140    0.002    0.000    0.042    0.000 <frozen importlib._bootstrap>:879(_find_spec)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:919(_sanity_check)
    144/2    0.001    0.000    0.164    0.082 <frozen importlib._bootstrap>:939(_find_and_load_unlocked)
      326    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:94(acquire)
    144/2    0.001    0.000    0.164    0.082 <frozen importlib._bootstrap>:966(_find_and_load)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:972(_gcd_import)
   749/29    0.001    0.000    0.142    0.005 <frozen importlib._bootstrap>:996(_handle_fromlist)
       14    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1047(_path_hooks)
      435    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1064(_path_importer_cache)
      134    0.001    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:1101(_get_spec)
      134    0.000    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:1133(find_spec)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1178(__init__)
      112    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1184(<genexpr>)
      129    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1210(_get_spec)
      312    0.004    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:1215(find_spec)
       14    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1260(_fill_cache)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1289(<setcomp>)
       14    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1301(path_hook_for_FileFinder)
      236    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:246(cache_from_source)
      312    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:30(_relax_case)
      129    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:342(_get_cached)
     1497    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:366(_verbose_message)
      118    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:382(_check_name_wrapper)
      118    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:419(_validate_bytecode_header)
      236    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:45(_r_long)
      118    0.000    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:474(_compile_bytecode)
     1535    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:50(_path_join)
      129    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:513(spec_from_file_location)
     1535    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:52(<listcomp>)
      236    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:56(_path_split)
      134    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:591(_open_registry)
      134    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:598(_search_registry)
      134    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:613(find_spec)
      118    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:656(create_module)
    118/1    0.001    0.000    0.146    0.146 <frozen importlib._bootstrap_external>:659(exec_module)
      603    0.000    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:68(_path_stat)
      118    0.001    0.000    0.042    0.000 <frozen importlib._bootstrap_external>:729(get_code)
      173    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:78(_path_is_mode_type)
      118    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:786(__init__)
      118    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:811(get_filename)
      118    0.007    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:816(get_data)
      118    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:826(path_stats)
      159    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:87(_path_isfile)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:892(__init__)
       11    0.000    0.000    0.033    0.003 <frozen importlib._bootstrap_external>:903(create_module)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:911(exec_module)
       14    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:92(_path_isdir)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:5(DefragResult)
        1    0.000    0.000    0.000    0.000 <string>:5(Match)
        1    0.000    0.000    0.000    0.000 <string>:5(Mismatch)
        1    0.000    0.000    0.000    0.000 <string>:5(ParseResult)
        1    0.000    0.000    0.000    0.000 <string>:5(SplitResult)
        1    0.000    0.000    0.000    0.000 <string>:5(TokenInfo)
        1    0.000    0.000    0.000    0.000 <string>:5(_LoggingWatcher)
        1    0.000    0.000    0.000    0.000 <string>:5(usage)
        1    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:78(_Feature)
        9    0.000    0.000    0.000    0.000 __future__.py:79(__init__)
        5    0.001    0.000    0.220    0.044 __init__.py:1(<module>)
        1    0.000    0.000    0.010    0.010 __init__.py:10(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1050(_StderrHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1056(__init__)
        1    0.000    0.000    0.145    0.145 __init__.py:106(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1074(PlaceHolder)
        1    0.000    0.000    0.000    0.000 __init__.py:1116(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1121(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1224(Logger)
        1    0.000    0.000    0.000    0.000 __init__.py:1239(__init__)
       14    0.000    0.000    0.000    0.000 __init__.py:142(_check_size)
        1    0.000    0.000    0.006    0.006 __init__.py:15(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:154(py_object)
        1    0.000    0.000    0.000    0.000 __init__.py:1542(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1548(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1556(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 __init__.py:163(c_short)
        1    0.000    0.000    0.000    0.000 __init__.py:167(c_ushort)
        1    0.000    0.000    0.000    0.000 __init__.py:171(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:175(c_ulong)
        2    0.000    0.000    0.000    0.000 __init__.py:182(_checkLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:1902(NullHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:192(c_float)
        1    0.000    0.000    0.000    0.000 __init__.py:196(c_double)
        1    0.000    0.000    0.000    0.000 __init__.py:200(c_longdouble)
        1    0.000    0.000    0.000    0.000 __init__.py:210(c_longlong)
        1    0.000    0.000    0.000    0.000 __init__.py:211(_acquireLock)
        1    0.000    0.000    0.000    0.000 __init__.py:214(c_ulonglong)
        1    0.000    0.000    0.000    0.000 __init__.py:220(_releaseLock)
        1    0.000    0.000    0.000    0.000 __init__.py:221(c_ubyte)
        1    0.000    0.000    0.000    0.000 __init__.py:228(c_byte)
        1    0.000    0.000    0.000    0.000 __init__.py:231(LogRecord)
        1    0.000    0.000    0.000    0.000 __init__.py:233(c_char)
        1    0.000    0.000    0.000    0.000 __init__.py:238(c_char_p)
        1    0.000    0.000    0.005    0.005 __init__.py:24(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:244(c_void_p)
        1    0.000    0.000    0.000    0.000 __init__.py:249(c_bool)
        1    0.000    0.000    0.000    0.000 __init__.py:254(c_wchar_p)
        1    0.000    0.000    0.000    0.000 __init__.py:259(c_wchar)
        1    0.000    0.000    0.000    0.000 __init__.py:262(_reset_cache)
        1    0.000    0.000    0.001    0.001 __init__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:314(CDLL)
        2    0.000    0.000    0.000    0.000 __init__.py:331(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:341(_FuncPtr)
        8    0.000    0.000    0.006    0.001 __init__.py:356(namedtuple)
        2    0.000    0.000    0.000    0.000 __init__.py:357(__getattr__)
        2    0.000    0.000    0.000    0.000 __init__.py:364(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:370(PercentStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:370(PyDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:376(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:379(WinDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:385(StrFormatStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:388(HRESULT)
        1    0.000    0.000    0.000    0.000 __init__.py:394(StringTemplateStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:401(OleDLL)
        1    0.000    0.000    0.005    0.005 __init__.py:41(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:410(LibraryLoader)
        4    0.000    0.000    0.000    0.000 __init__.py:411(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:414(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:418(Formatter)
       37    0.000    0.000    0.000    0.000 __init__.py:419(<genexpr>)
       37    0.000    0.000    0.000    0.000 __init__.py:421(<genexpr>)
        2    0.000    0.000    0.031    0.015 __init__.py:45(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:462(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:475(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:476(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:591(BufferingFormatter)
        1    0.000    0.000    0.000    0.000 __init__.py:633(Filter)
        1    0.000    0.000    0.000    0.000 __init__.py:670(Filterer)
        2    0.000    0.000    0.000    0.000 __init__.py:675(__init__)
        1    0.000    0.000    0.047    0.047 __init__.py:7(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 __init__.py:742(_addHandlerRef)
        1    0.000    0.000    0.000    0.000 __init__.py:752(Handler)
        1    0.000    0.000    0.000    0.000 __init__.py:761(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:790(createLock)
        1    0.000    0.000    0.002    0.002 __init__.py:88(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:937(StreamHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:988(FileHandler)
        3    0.000    0.000    0.000    0.000 __init__.py:99(CFunctionType)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:592(get)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:599(__contains__)
       43    0.000    0.000    0.000    0.000 _compat_pickle.py:165(<genexpr>)
       86    0.000    0.000    0.000    0.000 _compat_pickle.py:167(<genexpr>)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _compression.py:33(DecompressReader)
        1    0.000    0.000    0.000    0.000 _compression.py:9(BaseStream)
        1    0.000    0.000    0.000    0.000 _datasource.py:154(DataSource)
        1    0.000    0.000    0.000    0.000 _datasource.py:35(<module>)
        1    0.000    0.000    0.000    0.000 _datasource.py:50(_FileOpeners)
        1    0.000    0.000    0.000    0.000 _datasource.py:504(Repository)
        1    0.000    0.000    0.000    0.000 _datasource.py:74(__init__)
        1    0.000    0.000    0.001    0.001 _distributor_init.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
