FAIL lock
FAIL lock
FAIL matches
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
         136832 function calls (134769 primitive calls) in 70.227 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    127/1    0.004    0.000   70.227   70.227 {built-in method builtins.exec}
        1    1.099    1.099   70.227   70.227 main.py:2(<module>)
      436   24.892    0.057   24.892    0.057 {method 'detect' of 'cv2.Feature2D' objects}
      216    0.753    0.003   13.415    0.062 main.py:127(magnify_area)
      435   11.507    0.026   11.507    0.026 {method 'compute' of 'cv2.Feature2D' objects}
      218    0.013    0.000   11.029    0.051 main.py:91(compute_matches)
      216    0.021    0.000    7.309    0.034 main.py:112(compute_homography)
      216    7.272    0.034    7.272    0.034 {findHomography}
      216    6.910    0.032    6.910    0.032 {resize}
      217    6.298    0.029    6.298    0.029 {waitKey}
      648    2.838    0.004    2.838    0.004 {bitwise_and}
      216    0.010    0.000    1.897    0.009 main.py:78(show_matches)
      216    1.734    0.008    1.734    0.008 {warpAffine}
      216    1.501    0.007    1.501    0.007 {method 'match' of 'cv2.DescriptorMatcher' objects}
      216    1.360    0.006    1.360    0.006 {drawMatches}
        1    0.000    0.000    1.213    1.213 main.py:38(init_webcam)
      434    0.827    0.002    0.827    0.002 {imshow}
        4    0.775    0.194    0.775    0.194 {method 'set' of 'cv2.VideoCapture' objects}
      216    0.534    0.002    0.534    0.002 {bitwise_or}
      219    0.532    0.002    0.532    0.002 {method 'read' of 'cv2.VideoCapture' objects}
      221    0.514    0.002    0.514    0.002 {method 'copy' of 'numpy.ndarray' objects}
        1    0.303    0.303    0.303    0.303 {VideoCapture}
        5    0.000    0.000    0.203    0.041 __init__.py:1(<module>)
    144/2    0.001    0.000    0.156    0.078 <frozen importlib._bootstrap>:966(_find_and_load)
    144/2    0.001    0.000    0.156    0.078 <frozen importlib._bootstrap>:939(_find_and_load_unlocked)
    135/2    0.001    0.000    0.155    0.077 <frozen importlib._bootstrap>:659(_load_unlocked)
    192/3    0.000    0.000    0.154    0.051 <frozen importlib._bootstrap>:214(_call_with_frames_removed)
    118/1    0.001    0.000    0.139    0.139 <frozen importlib._bootstrap_external>:659(exec_module)
        1    0.000    0.000    0.139    0.139 __init__.py:106(<module>)
   748/28    0.001    0.000    0.136    0.005 <frozen importlib._bootstrap>:996(_handle_fromlist)
    313/7    0.000    0.000    0.135    0.019 {built-in method builtins.__import__}
      432    0.128    0.000    0.128    0.000 {circle}
        1    0.000    0.000    0.111    0.111 add_newdocs.py:10(<module>)
        1    0.000    0.000    0.089    0.089 type_check.py:3(<module>)
      216    0.055    0.000    0.071    0.000 {built-in method builtins.sorted}
      216    0.052    0.000    0.052    0.000 {polylines}
        1    0.000    0.000    0.046    0.046 __init__.py:7(<module>)
      140    0.002    0.000    0.042    0.000 <frozen importlib._bootstrap>:879(_find_spec)
        5    0.040    0.008    0.040    0.008 {imread}
      118    0.001    0.000    0.039    0.000 <frozen importlib._bootstrap_external>:729(get_code)
  135/133    0.000    0.000    0.035    0.000 <frozen importlib._bootstrap>:570(module_from_spec)
      134    0.000    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:1133(find_spec)
      134    0.001    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:1101(_get_spec)
        2    0.000    0.000    0.030    0.015 __init__.py:45(<module>)
      312    0.004    0.000    0.030    0.000 <frozen importlib._bootstrap_external>:1215(find_spec)
       11    0.000    0.000    0.029    0.003 <frozen importlib._bootstrap_external>:903(create_module)
       11    0.027    0.002    0.029    0.003 {built-in method _imp.create_dynamic}
      603    0.000    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:68(_path_stat)
      603    0.023    0.000    0.023    0.000 {built-in method nt.stat}
      118    0.000    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:474(_compile_bytecode)
        1    0.000    0.000    0.019    0.019 _internal.py:6(<module>)
      118    0.018    0.000    0.018    0.000 {built-in method marshal.loads}
        2    0.018    0.009    0.018    0.009 {namedWindow}
        1    0.000    0.000    0.017    0.017 decorators.py:15(<module>)
        1    0.000    0.000    0.016    0.016 utils.py:4(<module>)
      216    0.010    0.000    0.016    0.000 main.py:158(test_for_good_lock)
    75004    0.015    0.000    0.015    0.000 main.py:109(<lambda>)
      174    0.012    0.000    0.012    0.000 main.py:171(smooth_matrix)
      118    0.007    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:816(get_data)
  343/341    0.007    0.000    0.011    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.011    0.011 case.py:1(<module>)
        1    0.000    0.000    0.009    0.009 __init__.py:10(<module>)
      216    0.009    0.000    0.009    0.000 main.py:117(<listcomp>)
      173    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:78(_path_is_mode_type)
        1    0.000    0.000    0.008    0.008 shutil.py:5(<module>)
      159    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:87(_path_isfile)
        1    0.000    0.000    0.008    0.008 py3k.py:4(<module>)
        1    0.000    0.000    0.008    0.008 __init__.py:15(<module>)
        1    0.000    0.000    0.007    0.007 numeric.py:1(<module>)
        1    0.000    0.000    0.007    0.007 pathlib.py:1(<module>)
      216    0.004    0.000    0.006    0.000 main.py:198(smooth_centre_motion)
      120    0.000    0.000    0.006    0.000 re.py:278(_compile)
      134    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:613(find_spec)
        1    0.000    0.000    0.006    0.006 main.py:1(<module>)
       16    0.000    0.000    0.006    0.000 sre_compile.py:531(compile)
